Name,Probability,Url
★★★★星光精靈,0.0333,https://cdn.gamerch.com/contents/wiki/2092/entry/KUg8Rkx4.jpg
★★★★邦尼機器人,0.0333,https://cdn.gamerch.com/contents/wiki/2092/entry/gMSZOM25.jpg
★★★★夜蜘蛛,0.0333,https://cdn.gamerch.com/contents/wiki/2092/entry/45z0WFog.png
★★★★斯碧亞,0.0667,https://cdn.gamerch.com/contents/wiki/2092/entry/Yhzn8qmi.jpg
★★★★熔岩獅,0.0667,https://cdn.gamerch.com/contents/wiki/2092/entry/EtXf3xzV.png
★★★★炎虎,0.0667,https://cdn.gamerch.com/contents/wiki/2092/entry/CODkcDoE.jpg
★★★★普洛林,0.0667,https://cdn.gamerch.com/contents/wiki/2092/entry/5sz0C8GO.jpg
★★★★海龍,0.0667,https://cdn.gamerch.com/contents/wiki/2092/entry/AfTM2txi.png
★★★★神鹿,0.0667,https://cdn.gamerch.com/contents/wiki/2092/entry/blLvAhFZ.jpg
☆☆☆☆嗚吱猴,0.1842,https://cdn.gamerch.com/contents/wiki/2092/entry/hE6bIVFc.jpg
☆☆☆☆星蛾,0.1842,https://cdn.gamerch.com/contents/wiki/2092/entry/jMNpdDCi.jpg
☆☆☆☆鯰魚,0.1842,https://cdn.gamerch.com/contents/wiki/2092/entry/XhYItqQY.jpg
☆☆☆☆紳士鳥,0.1842,https://cdn.gamerch.com/contents/wiki/2092/entry/R4g1mebo.png
☆☆☆☆豬布林,0.1842,https://cdn.gamerch.com/contents/wiki/2092/entry/GukMqLZL.png
☆☆☆☆黑王,0.1842,https://cdn.gamerch.com/contents/wiki/2092/entry/jfcH5tMA.jpg
☆☆☆☆獨角鬥龍,0.1842,https://cdn.gamerch.com/contents/wiki/2092/entry/VKii3XVX.png
☆☆☆☆吉魯,0.3684,https://cdn.gamerch.com/contents/wiki/2092/entry/RC9XIaKU.jpg
☆☆☆☆路奇,0.3684,https://cdn.gamerch.com/contents/wiki/2092/entry/Yhnyx04x.png
☆☆☆☆海獺君,0.3684,https://cdn.gamerch.com/contents/wiki/2092/entry/7VKtzFUf.png
☆☆☆☆水蠑螈,0.3684,https://cdn.gamerch.com/contents/wiki/2092/entry/uxeJ9rY4.png
☆☆☆☆歐多羅奇諾,0.3684,https://cdn.gamerch.com/contents/wiki/2092/entry/2gpI3cSO.png
☆☆☆☆圈圈銜尾蛇,0.3684,https://cdn.gamerch.com/contents/wiki/2092/entry/Zto5b0fs.png
☆☆☆向日葵蜂,2.5714,https://cdn.gamerch.com/contents/wiki/2092/entry/8rP0wbwP.jpg
☆☆☆英雄蝙蝠,2.5714,https://cdn.gamerch.com/contents/wiki/2092/entry/NoJVCa6y.png
☆☆☆紐羅莉娜,5.1429,https://cdn.gamerch.com/contents/wiki/2092/entry/d1lFvkUb.png
☆☆☆寶貝龍,5.1429,https://cdn.gamerch.com/contents/wiki/2092/entry/FmfsvJ7Q.png
☆☆☆鯨魚王,5.1429,https://cdn.gamerch.com/contents/wiki/2092/entry/fVXpaXKs.png
☆☆☆咕咕王,5.1429,https://cdn.gamerch.com/contents/wiki/2092/entry/V1nc0HS2.png
☆☆☆木石怪,5.1429,https://cdn.gamerch.com/contents/wiki/2092/entry/rVxbeiNW.png
☆☆☆烏嘎烏嘎,5.1429,https://cdn.gamerch.com/contents/wiki/2092/entry/10iaDIhk.png
☆☆轟轟隆,10.0000,https://cdn.gamerch.com/contents/wiki/2092/entry/xwjmhFYc.png
☆☆骸骨魯,10.0000,https://cdn.gamerch.com/contents/wiki/2092/entry/yWJcVbyG.png
☆☆貪吃龍,10.0000,https://cdn.gamerch.com/contents/wiki/2092/entry/FFGCiEPS.png
☆☆魟魚,10.0000,https://cdn.gamerch.com/contents/wiki/2092/entry/hCiFzcD4.png
☆☆石龜,10.0000,https://cdn.gamerch.com/contents/wiki/2092/entry/wEwK9rzs.jpg
☆☆啾嗶,10.0000,https://cdn.gamerch.com/contents/wiki/2092/entry/fNTzmvkE.png
